座標名,分割名,略称,形式,端子種類,器具番号
CNV,,DCDC,S8JX-N050,4S,DD-203
Y1,B,TB,PTL-40-12,4S,Y1
YY1,D,TB,PTL-40-12,4S,Y1
Y2,D,TB,PTL-40-12,4S,Y2
YY3,D,TB,PTL-40-12,4S,Y3
Z1,A,TB,PTL-40-12,4S,Z1
1S1,,CN,172508-1,FM,1S1_0
Y3,C,TB,PTL-40-12,4S,Y3
YY2,C,TB,PTL-40-12,4S,Y2
Z2,A,TB,PTL-40-12,4S,Z2
CB,A,VCB,VF-20VM-DD,FW,52S1
Y2,C,TB,PTL-40-12,4S,Y2
YY3,C,TB,PTL-40-12,4S,Y3
EBU,C,EBU,CU25X3T,6M,EB
1S4,,CN,172508-1,FM,1S4_0
Z8,D,TB,PTL-40-12,4S,Z8
Z8,B,TB,PTL-40-12,4S,Z8
EBU,B,EBU,CU25X3T,6M,EB
Z,,Z,G-T1,4I,S-TD
SA,,NF,RSEN-2006D,4S,NF-203
Y4,C,TB,PTL-40-12,4S,Y4
Y4,D,TB,PTL-40-12,4S,Y4
Z2,B,TB,PTL-40-12,4S,Z2
Z9,A,TB,PTL-40-12,4S,Z9
Z3,A,TB,PTL-40-12,4S,Z3
1S2,,CN,172508-1,FM,1S2_0
Z3,B,TB,PTL-40-12,4S,Z3
Z1,B,TB,PTL-40-12,4S,Z1
Z4,A,TB,PTL-40-12,4S,Z4
1S3,,CN,172508-1,FM,1S3_0
GPT,,VT,VT/EVT_DAISHA,FS,EVT
Z7,A,TB,PTL-40-12,4S,Z7
1S5,,CN,172508-1,FM,1S5_0
Z7,B,TB,PTL-40-12,4S,Z7
Y1,A,TB,PTL-40-12,4S,Y1
YY1,C,TB,PTL-40-12,4S,Y1
Z4,B,TB,PTL-40-12,4S,Z4
EBU,D,EBU,CU25X3T,6M,EB
EBU,A,EBU,CU25X3T,6M,EB
Z9,C,TB,PTL-40-12,4S,Z9
Y4,A,TB,PTL-40-12,4S,Y4
Y4,B,TB,PTL-40-12,4S,Y4
CB,B,VCB,VF-20VM-DD,FW,52S1
Z6,B,TB,PTL-40-12,4S,Z6
1TS,,COS,WR-13KTN-トク,4S,43FAN
TH,U,THSW,E5L-A,4S,TH-202
FAN,,FAN,HS4506×2,FM,FAN-202
TH,L,THSW,E5L-A,4S,TH-202
FLF,,FL,CLED-1004,F6,FLF-202
DRSF,,DRS,AV1565F,FD,DRSWF-202
1CT,,CT,EUT-6-R,6M,SCTR
Z8,C,TB,PTL-40-12,4S,Z8
2CT,,CT,EUT-6-R,6M,SCTS
3CT,,CT,EUT-6-R,6M,SCTT
SH,,SH,SHK-2220,F6,SH-202
2TS,,COS,WR-11KTN-トク,4S,43SH
COF,,CO,WN1001,BO,COF-202
Z9,B,TB,PTL-40-12,4S,Z9
