X座標,Y座標,配線端番号,座標,ピン高さ,ピングループ
955,1430,5,12A,116,B
890,1790,2,1S1,39,
955,1430,5,12A,125,B
890,1790,2,1S1,40,
955,1430,5,12A,123,B
890,1790,2,1S1,41,
977,1430,6,12A,118,C
890,1790,2,1S1,42,
977,1430,6,12A,117,C
890,1790,2,1S1,43,
990,1910,1,11A,108,
890,1790,2,1S1,44,
955,1430,5,12A,133,B
890,1790,2,1S1,45,
977,1430,6,12A,139,C
890,1790,2,1S1,46,
955,1430,5,12A,140,B
890,1790,2,1S1,47,
955,1430,5,12A,115,B
890,1790,2,1S1,48,
990,1910,1,11A,107,
890,1790,2,1S1,49,
990,1910,1,11A,106,
890,1790,2,1S1,50,
955,1430,5,12A,117,B
890,1690,3,1S2,39,
955,1430,5,12A,118,B
890,1690,3,1S2,40,
955,1430,5,12A,119,B
890,1690,3,1S2,41,
955,1430,5,12A,121,B
890,1690,3,1S2,42,
977,1430,6,12A,140,C
890,1690,3,1S2,43,
977,1430,6,12A,115,C
890,1690,3,1S2,44,
977,1430,6,12A,128,C
890,1690,3,1S2,45,
977,1430,6,12A,127,C
890,1690,3,1S2,46,
977,1430,6,12A,125,C
890,1690,3,1S2,47,
977,1430,6,12A,124,C
890,1690,3,1S2,48,
977,1430,6,12A,123,C
890,1690,3,1S2,49,
977,1430,6,12A,122,C
890,1690,3,1S2,50,
921,1430,4,12A,112,A
1006,1383,8,12A,94,E
921,1430,4,12A,111,A
977,1430,6,12A,137,C
977,1430,6,12A,119,C
921,1430,4,12A,110,A
1047,1430,7,12A,133,F
930,920,14,15A,82,
1047,1430,7,12A,135,F
930,920,14,15A,81,
1047,1430,7,12A,137,F
930,920,14,15A,80,
977,1430,6,12A,129,C
977,1430,6,12A,116,C
977,1430,6,12A,134,C
1047,1430,7,12A,131,F
1050,920,15,15B,81,
1047,1430,7,12A,132,F
1050,920,15,15B,80,
977,1430,6,12A,138,C
930,1005,12,13A,17,
977,1430,6,12A,136,C
930,1005,12,13A,16,
1047,1430,7,12A,125,F
1050,1000,13,14A,82,
1047,1430,7,12A,126,F
1050,1000,13,14A,81,
1047,1430,7,12A,127,F
1050,1000,13,14A,80,
620,1220,10,1S4,7,
930,920,14,15A,84,
620,1220,10,1S4,10,
930,920,14,15A,83,
620,1220,10,1S4,8,
1047,1430,7,12A,134,F
620,1220,10,1S4,9,
1047,1430,7,12A,136,F
620,1220,10,1S4,11,
930,920,14,15A,85,
620,1220,10,1S4,12,
1047,1430,7,12A,138,F
620,1220,10,1S4,13,
977,1430,6,12A,126,C
620,1270,9,1S3,7,
620,1270,9,1S3,8,
977,1430,6,12A,133,C
620,1270,9,1S3,9,
977,1430,6,12A,132,C
620,1270,9,1S3,10,
977,1430,6,12A,131,C
620,1270,9,1S3,11,
977,1430,6,12A,130,C
620,1270,9,1S3,12,
955,1430,5,12A,127,B
620,1270,9,1S3,13,
1050,920,15,15B,82,
620,1220,10,1S4,14,
1050,920,15,15B,83,
620,1220,10,1S4,16,
620,1220,10,1S4,15,
620,1220,10,1S4,17,
620,1270,9,1S3,14,
955,1430,5,12A,137,B
620,1270,9,1S3,15,
955,1430,5,12A,138,B
620,1270,9,1S3,16,
620,1270,9,1S3,17,
955,1430,5,12A,129,B
620,1270,9,1S3,18,
1050,1000,13,14A,83,
620,1220,10,1S4,18,
620,1170,11,1S5,7,
1050,1000,13,14A,84,
620,1170,11,1S5,9,
620,1170,11,1S5,10,
1050,1000,13,14A,85,
620,1170,11,1S5,12,
620,1170,11,1S5,13,
620,1170,11,1S5,8,
620,1170,11,1S5,11,
620,1170,11,1S5,14,
